StoreID,ProductID,InventoryLevel,ReorderThreshold
S001,P0096,117,140
S001,P0096,135,140
S001,P0096,101,140
S001,P0096,132,140
S001,P0096,119,140
S001,P0096,137,140
S001,P0096,127,140
S001,P0096,119,140
S001,P0096,60,140
S001,P0096,115,140
S001,P0096,84,140
S001,P0096,83,140
S001,P0096,87,140
S001,P0096,118,140
S001,P0096,133,140
S001,P0096,104,140
S001,P0096,120,140
S001,P0096,82,140
S001,P0096,87,140
S001,P0096,72,140
S001,P0096,128,140
S001,P0096,108,140
S001,P0096,109,140
S001,P0096,122,140
S001,P0096,134,140
S001,P0096,67,140
S001,P0096,121,140
S001,P0096,101,140
S001,P0096,79,140
S001,P0096,89,140
S001,P0096,90,140
S001,P0096,89,140
S001,P0096,117,140
S001,P0096,106,140
S001,P0096,126,140
S001,P0096,138,140
S001,P0096,117,140
S001,P0096,116,140
S001,P0096,114,140
S001,P0096,139,140
S001,P0096,117,140
S001,P0096,79,140
S001,P0096,82,140
S001,P0096,130,140
S001,P0096,93,140
S001,P0096,66,140
S001,P0096,127,140
S001,P0096,99,140
S001,P0096,136,140
S001,P0096,128,140
S001,P0096,119,140
S001,P0096,126,140
S001,P0096,138,140
S001,P0096,63,140
S001,P0096,67,140
S001,P0096,101,140
S001,P0096,112,140
S001,P0096,137,140
S001,P0096,89,140
S001,P0096,132,140
S001,P0096,103,140
S001,P0096,118,140
S001,P0096,135,140
S001,P0096,111,140
S001,P0096,98,140
S001,P0096,112,140
S001,P0096,105,140
S001,P0096,111,140
S001,P0096,60,140
S001,P0096,66,140
S001,P0096,91,140
S001,P0096,100,140
S001,P0096,115,140
S001,P0096,103,140
S001,P0096,48,140
S001,P0096,81,140
S001,P0096,117,140
S001,P0096,101,140
S001,P0096,120,140
S001,P0096,136,140
S001,P0096,90,140
S001,P0096,83,140
S001,P0096,55,140
S001,P0096,131,140
S001,P0096,116,140
S001,P0096,67,140
S001,P0096,66,140
S001,P0096,131,140
S001,P0096,136,140
S001,P0096,66,140
S001,P0096,91,140
S001,P0096,113,140
S001,P0096,108,140
S001,P0096,111,140
S001,P0096,115,140
S001,P0096,47,140
S001,P0096,73,140
S001,P0096,93,140
S001,P0096,116,140
S001,P0096,127,140
S001,P0096,108,140
S001,P0096,56,140
S001,P0096,103,140
S001,P0096,111,140
S001,P0096,120,140
S001,P0096,87,140
S001,P0096,68,140
S001,P0096,137,140
S001,P0096,49,140
S001,P0096,112,140
S001,P0096,119,140
S001,P0096,121,140
S001,P0096,74,140
S001,P0096,135,140
S001,P0096,110,140
S001,P0096,104,140
S001,P0096,113,140
S001,P0096,121,140
S001,P0096,93,140
S001,P0096,99,140
S001,P0096,104,140
S001,P0096,105,140
S001,P0096,119,140
S001,P0096,66,140
S001,P0096,117,140
S001,P0096,121,140
S001,P0096,123,140
S001,P0096,128,140
S001,P0016,84,155
S001,P0016,93,155
S001,P0016,111,155
S001,P0016,130,155
S001,P0016,127,155
S001,P0016,116,155
S001,P0016,126,155
S001,P0016,132,155
S001,P0016,151,155
S001,P0016,132,155
S001,P0016,129,155
S001,P0016,146,155
S001,P0016,140,155
S001,P0016,106,155
S001,P0016,149,155
S001,P0016,107,155
S001,P0016,96,155
S001,P0016,100,155
S001,P0016,130,155
S001,P0016,104,155
S001,P0016,117,155
S001,P0016,118,155
S001,P0016,118,155
S001,P0016,154,155
S001,P0016,87,155
S001,P0016,123,155
S001,P0016,153,155
S001,P0016,154,155
S001,P0016,134,155
S001,P0016,127,155
S001,P0016,71,155
S001,P0016,112,155
S001,P0016,154,155
S001,P0016,149,155
S001,P0016,118,155
S001,P0016,119,155
S001,P0016,125,155
S001,P0016,111,155
S001,P0016,126,155
S001,P0016,98,155
S001,P0016,123,155
S001,P0016,76,155
S001,P0016,94,155
S001,P0016,147,155
S001,P0016,39,155
S001,P0016,128,155
S001,P0016,130,155
S001,P0016,68,155
S001,P0016,85,155
S001,P0016,62,155
S001,P0016,86,155
S001,P0016,87,155
S001,P0016,110,155
S001,P0016,103,155
S001,P0016,133,155
S001,P0016,107,155
S001,P0016,109,155
S001,P0016,78,155
S001,P0016,152,155
S001,P0016,122,155
S001,P0016,127,155
S001,P0016,110,155
S001,P0016,85,155
S001,P0016,108,155
S001,P0016,124,155
S001,P0016,115,155
S001,P0016,105,155
S001,P0016,96,155
S001,P0016,83,155
S001,P0016,126,155
S001,P0016,150,155
S001,P0016,144,155
S001,P0016,129,155
S001,P0016,139,155
S001,P0016,135,155
S001,P0016,108,155
S001,P0016,126,155
S001,P0016,70,155
S001,P0016,144,155
S001,P0016,116,155
S001,P0016,90,155
S001,P0016,120,155
S001,P0016,106,155
S001,P0016,99,155
S001,P0016,128,155
S001,P0016,125,155
S001,P0016,147,155
S001,P0016,108,155
S001,P0016,107,155
S001,P0016,90,155
S001,P0016,107,155
S001,P0016,97,155
S001,P0016,132,155
S001,P0016,130,155
S001,P0016,123,155
S001,P0016,153,155
S001,P0016,123,155
S001,P0016,92,155
S001,P0016,153,155
S001,P0016,93,155
S001,P0016,119,155
S001,P0016,124,155
S001,P0016,94,155
S001,P0016,96,155
S001,P0016,118,155
S001,P0016,113,155
S001,P0016,49,155
S001,P0016,115,155
S001,P0016,73,155
S001,P0016,116,155
S001,P0016,100,155
S001,P0016,35,155
S001,P0016,123,155
S001,P0016,119,155
S001,P0016,119,155
S001,P0016,93,155
S001,P0016,85,155
S001,P0016,106,155
S001,P0016,148,155
S001,P0016,129,155
S001,P0016,96,155
S001,P0016,118,155
S001,P0016,99,155
S001,P0016,87,155
S001,P0016,68,155
S001,P0016,144,155
S001,P0016,137,155
S001,P0016,51,155
S001,P0016,91,155
S001,P0016,131,155
S001,P0016,102,155
S001,P0016,87,155
S001,P0016,65,155
S001,P0016,91,155
S001,P0016,116,155
S001,P0016,109,155
S001,P0016,151,155
S001,P0016,88,155
S001,P0016,88,155
S001,P0016,117,155
S001,P0016,87,155
S001,P0016,86,155
S001,P0016,130,155
S001,P0016,130,155
S001,P0016,80,155
S001,P0016,109,155
S001,P0016,103,155
S001,P0016,132,155
S001,P0016,111,155
S001,P0016,93,155
S001,P0016,122,155
S001,P0016,125,155
S001,P0016,140,155
S001,P0016,88,155
S001,P0016,134,155
S001,P0016,86,155
S001,P0016,143,155
S001,P0016,131,155
S001,P0016,113,155
S001,P0016,65,155
S001,P0016,150,155
S001,P0016,111,155
S001,P0016,129,155
S001,P0016,105,155
S001,P0016,148,155
S001,P0016,105,155
S001,P0016,117,155
S001,P0016,116,155
S001,P0016,66,155
S001,P0016,129,155
S001,P0016,58,155
S001,P0016,100,155
S001,P0016,152,155
S001,P0016,142,155
S001,P0016,132,155
S001,P0016,144,155
S001,P0016,147,155
S001,P0016,142,155
S001,P0016,110,155
S001,P0016,146,155
S001,P0016,146,155
S001,P0016,89,155
S001,P0016,69,155
S001,P0016,128,155
S001,P0016,107,155
S001,P0016,75,155
S001,P0016,128,155
S001,P0016,73,155
S001,P0016,99,155
S001,P0016,62,155
S001,P0016,139,155
S001,P0016,88,155
S001,P0016,80,155
S001,P0016,89,155
S001,P0016,134,155
S001,P0016,136,155
S001,P0016,80,155
S001,P0016,75,155
S001,P0016,123,155
S001,P0016,96,155
S001,P0016,104,155
S001,P0016,31,155
S001,P0016,96,155
S001,P0016,85,155
S001,P0016,102,155
S001,P0016,129,155
S001,P0016,133,155
S001,P0016,143,155
S001,P0016,151,155
S001,P0016,110,155
S001,P0016,68,155
S001,P0016,142,155
S001,P0016,59,155
S001,P0016,152,155
S001,P0016,154,155
S001,P0016,144,155
S001,P0016,84,155
S001,P0016,79,155
S001,P0016,126,155
S001,P0016,154,155
S001,P0016,98,155
S001,P0016,134,155
S001,P0016,149,155
S001,P0016,131,155
S001,P0016,99,155
S001,P0016,134,155
S001,P0016,92,155
S001,P0016,115,155
S001,P0016,86,155
S001,P0016,97,155
S001,P0016,92,155
S001,P0016,126,155
S001,P0016,145,155
S001,P0016,142,155
S001,P0016,134,155
S001,P0016,107,155
S001,P0016,148,155
S001,P0016,77,155
S001,P0016,120,155
S001,P0016,135,155
S001,P0016,119,155
S001,P0016,128,155
S001,P0016,145,155
S001,P0016,137,155
S001,P0016,134,155
S001,P0016,89,155
S001,P0016,130,155
S001,P0016,121,155
S001,P0016,95,155
S001,P0016,69,155
S001,P0016,56,155
S001,P0016,118,155
S001,P0016,142,155
S001,P0016,114,155
S001,P0016,111,155
S001,P0016,109,155
S001,P0016,136,155
S001,P0016,127,155
S001,P0016,150,155
S001,P0016,149,155
S001,P0016,88,155
S001,P0016,137,155
S001,P0016,115,155
S001,P0016,113,155
S001,P0016,136,155
S001,P0016,99,155
S001,P0016,86,155
S001,P0016,135,155
S001,P0016,129,155
S001,P0016,144,155
S001,P0016,127,155
S001,P0016,106,155
S001,P0016,125,155
S001,P0016,92,155
S001,P0016,106,155
S001,P0016,123,155
S001,P0016,87,155
S001,P0016,116,155
S001,P0016,106,155
S001,P0016,136,155
S001,P0016,125,155
S001,P0016,115,155
S001,P0016,107,155
S001,P0016,96,155
S001,P0016,129,155
S001,P0016,148,155
S001,P0016,109,155
S001,P0016,92,155
S001,P0016,131,155
S001,P0016,132,155
S001,P0016,149,155
S001,P0016,143,155
S001,P0016,34,155
S001,P0016,124,155
S001,P0016,126,155
S001,P0016,110,155
S001,P0016,139,155
S001,P0016,51,155
S001,P0016,123,155
S001,P0016,63,155
S001,P0016,133,155
S001,P0016,152,155
S001,P0016,76,155
S001,P0016,152,155
S001,P0016,135,155
S001,P0016,141,155
S001,P0016,153,155
S001,P0016,139,155
S001,P0016,151,155
S001,P0016,127,155
S001,P0016,99,155
S001,P0016,85,155
S001,P0016,152,155
S001,P0016,145,155
S001,P0016,68,155
S001,P0016,78,155
S001,P0016,131,155
S001,P0016,151,155
S001,P0016,146,155
S001,P0016,136,155
S001,P0016,94,155
S001,P0016,137,155
S001,P0016,126,155
S001,P0016,153,155
S001,P0016,147,155
S001,P0016,128,155
S001,P0016,109,155
S001,P0016,71,155
S001,P0016,112,155
S001,P0016,140,155
S001,P0016,106,155
S001,P0016,139,155
S001,P0016,140,155
S001,P0016,127,155
S001,P0016,122,155
S001,P0016,83,155
S001,P0016,137,155
S001,P0016,123,155
S001,P0016,89,155
S001,P0016,144,155
S001,P0016,75,155
S001,P0016,118,155
S001,P0016,73,155
S001,P0016,106,155
S001,P0016,80,155
S001,P0016,147,155
S001,P0016,129,155
S001,P0016,79,155
S001,P0016,58,155
S001,P0016,142,155
S001,P0016,134,155
S001,P0016,127,155
S001,P0016,134,155
S001,P0016,148,155
S001,P0016,86,155
S001,P0016,84,155
S001,P0016,105,155
S001,P0016,35,155
S001,P0016,130,155
S001,P0016,149,155
S001,P0016,118,155
S001,P0016,132,155
S001,P0016,121,155
S001,P0016,73,155
S001,P0016,141,155
S001,P0016,112,155
S001,P0016,145,155
S001,P0016,78,155
S001,P0016,83,155
S001,P0016,74,155
S001,P0016,101,155
S001,P0016,151,155
S001,P0016,34,155
S001,P0016,137,155
S001,P0016,122,155
S001,P0016,127,155
S001,P0016,140,155
S001,P0016,134,155
S001,P0016,132,155
S001,P0016,73,155
S001,P0016,56,155
S001,P0016,150,155
S001,P0016,48,155
S001,P0016,121,155
S001,P0016,124,155
S001,P0016,151,155
S001,P0016,144,155
S001,P0016,106,155
S001,P0016,72,155
S001,P0016,82,155
S001,P0016,138,155
S001,P0016,141,155
S001,P0016,114,155
S001,P0016,112,155
S001,P0016,111,155
S001,P0031,75,134
S001,P0031,99,134
S001,P0031,88,134
S001,P0031,76,134
S001,P0031,96,134
S001,P0031,103,134
S001,P0031,90,134
S001,P0031,95,134
S001,P0031,111,134
S001,P0031,120,134
S001,P0031,130,134
S001,P0031,105,134
S001,P0031,127,134
S001,P0031,113,134
S001,P0031,123,134
S001,P0031,86,134
S001,P0031,124,134
S001,P0031,129,134
S001,P0031,69,134
S001,P0031,92,134
S001,P0031,96,134
S001,P0031,70,134
S001,P0031,85,134
S001,P0031,41,134
S001,P0031,69,134
S001,P0031,60,134
S001,P0031,116,134
S001,P0031,112,134
S001,P0031,62,134
S001,P0031,105,134
S001,P0031,124,134
S001,P0031,122,134
S001,P0031,103,134
S001,P0031,132,134
S001,P0031,112,134
S001,P0031,51,134
S001,P0031,120,134
S001,P0031,112,134
S001,P0031,114,134
S001,P0031,129,134
S001,P0031,117,134
S001,P0031,130,134
S001,P0031,110,134
S001,P0031,121,134
S001,P0031,62,134
S001,P0031,79,134
S001,P0031,92,134
S001,P0031,85,134
S001,P0031,126,134
S001,P0031,98,134
S001,P0031,91,134
S001,P0031,114,134
S001,P0031,132,134
S001,P0031,85,134
S001,P0031,59,134
S001,P0031,131,134
S001,P0031,118,134
S001,P0031,102,134
S001,P0031,119,134
S001,P0031,95,134
S001,P0031,85,134
S001,P0031,131,134
S001,P0031,98,134
S001,P0031,70,134
S001,P0031,125,134
S001,P0031,52,134
S001,P0031,127,134
S001,P0031,107,134
S001,P0031,81,134
S001,P0031,76,134
S001,P0031,76,134
S001,P0031,111,134
S001,P0031,121,134
S001,P0031,124,134
S001,P0031,124,134
S001,P0031,117,134
S001,P0031,104,134
S001,P0031,83,134
S001,P0031,113,134
S001,P0031,108,134
S001,P0031,115,134
S001,P0031,113,134
S001,P0031,131,134
S001,P0031,87,134
S001,P0031,120,134
S001,P0031,83,134
S001,P0031,101,134
S001,P0031,89,134
S001,P0031,100,134
S001,P0031,49,134
S001,P0031,64,134
S001,P0031,78,134
S001,P0031,133,134
S001,P0031,121,134
S001,P0031,79,134
S001,P0031,101,134
S001,P0031,127,134
S001,P0031,70,134
S001,P0031,62,134
S001,P0031,117,134
S001,P0031,79,134
S001,P0031,123,134
S001,P0031,89,134
S001,P0031,105,134
S001,P0031,128,134
S001,P0031,132,134
S001,P0031,100,134
S001,P0031,109,134
S001,P0031,106,134
S001,P0031,121,134
S001,P0031,121,134
S001,P0031,125,134
S001,P0031,110,134
S001,P0031,98,134
S001,P0031,80,134
S001,P0031,113,134
S001,P0031,114,134
S001,P0031,105,134
S001,P0031,71,134
S001,P0031,67,134
S001,P0031,28,134
S001,P0031,101,134
S001,P0031,133,134
S001,P0031,91,134
S001,P0031,86,134
S001,P0031,132,134
S001,P0031,79,134
S001,P0031,103,134
S001,P0031,77,134
S001,P0031,60,134
S001,P0031,90,134
S001,P0031,113,134
S001,P0031,97,134
S001,P0031,68,134
S001,P0031,107,134
S001,P0031,110,134
S001,P0031,53,134
S001,P0031,62,134
S001,P0031,95,134
S001,P0031,88,134
S001,P0031,83,134
S001,P0031,118,134
S001,P0031,109,134
S001,P0031,128,134
S001,P0031,108,134
S001,P0031,102,134
S001,P0031,133,134
S001,P0031,94,134
S001,P0031,45,134
S001,P0031,131,134
S001,P0031,41,134
S001,P0031,121,134
S001,P0031,94,134
S001,P0031,128,134
S001,P0031,49,134
S001,P0031,87,134
S001,P0031,94,134
S001,P0031,128,134
S001,P0031,129,134
S001,P0031,68,134
S001,P0031,77,134
S001,P0031,112,134
S001,P0031,61,134
S001,P0031,127,134
S001,P0031,95,134
S001,P0031,50,134
S001,P0031,102,134
S001,P0031,95,134
S001,P0031,77,134
S001,P0031,129,134
S001,P0031,106,134
S001,P0031,98,134
S001,P0031,129,134
S001,P0031,109,134
S001,P0031,100,134
S001,P0031,133,134
S001,P0031,64,134
S001,P0031,126,134
S001,P0031,115,134
S001,P0031,87,134
S001,P0031,117,134
S001,P0031,129,134
S001,P0031,102,134
S001,P0031,133,134
S001,P0031,127,134
S001,P0031,120,134
S001,P0031,93,134
S001,P0031,123,134
S001,P0031,71,134
S001,P0031,98,134
S001,P0031,121,134
S001,P0031,75,134
S001,P0031,127,134
S001,P0031,131,134
S001,P0031,77,134
S001,P0031,113,134
S001,P0031,111,134
S001,P0031,40,134
S001,P0031,131,134
S001,P0031,104,134
S001,P0031,118,134
S001,P0031,104,134
S001,P0031,119,134
S001,P0031,105,134
S001,P0031,85,134
S001,P0031,133,134
S001,P0031,112,134
S001,P0031,118,134
S001,P0031,103,134
S001,P0031,118,134
S001,P0031,98,134
S001,P0031,129,134
S001,P0031,73,134
S001,P0031,63,134
S001,P0031,85,134
S001,P0031,120,134
S001,P0031,113,134
S001,P0031,47,134
S001,P0031,81,134
S001,P0031,88,134
S001,P0031,112,134
S001,P0031,81,134
S001,P0031,98,134
S001,P0031,86,134
S001,P0031,76,134
S001,P0031,95,134
S001,P0031,115,134
S001,P0031,82,134
S001,P0031,119,134
S001,P0031,105,134
S001,P0031,98,134
S001,P0031,123,134
S001,P0031,98,134
S001,P0031,106,134
S001,P0031,122,134
S001,P0031,113,134
S001,P0031,86,134
S001,P0031,130,134
S001,P0031,64,134
S001,P0031,50,134
S001,P0031,115,134
S001,P0031,81,134
S001,P0031,101,134
S001,P0031,45,134
S001,P0031,130,134
S001,P0031,67,134
S001,P0031,71,134
S001,P0031,106,134
S001,P0031,105,134
S001,P0031,96,134
S001,P0031,116,134
S001,P0031,59,134
S001,P0031,69,134
S001,P0031,79,134
S001,P0031,107,134
S001,P0031,130,134
S001,P0031,123,134
S001,P0031,96,134
S001,P0031,114,134
S001,P0031,91,134
S001,P0031,118,134
S001,P0031,97,134
S001,P0031,93,134
S001,P0031,45,134
S001,P0031,113,134
S001,P0031,117,134
S001,P0031,119,134
S001,P0031,66,134
S001,P0031,116,134
S001,P0031,118,134
S001,P0031,112,134
S001,P0031,111,134
S001,P0031,107,134
S001,P0031,116,134
S001,P0031,69,134
S001,P0031,131,134
S001,P0031,109,134
S001,P0031,90,134
S001,P0031,111,134
S001,P0031,125,134
S001,P0031,107,134
S001,P0031,94,134
S001,P0031,118,134
S001,P0031,109,134
S001,P0031,122,134
S001,P0031,79,134
S001,P0031,129,134
S001,P0031,52,134
S001,P0031,74,134
S001,P0031,88,134
S001,P0031,116,134
S001,P0031,131,134
S001,P0031,93,134
S001,P0031,109,134
S001,P0031,116,134
S001,P0031,96,134
S001,P0031,128,134
S001,P0031,82,134
S001,P0031,129,134
S001,P0031,84,134
S001,P0031,115,134
S001,P0031,106,134
S001,P0031,71,134
S001,P0031,101,134
S001,P0031,97,134
S001,P0031,87,134
S001,P0031,93,134
S001,P0031,96,134
S001,P0031,96,134
S001,P0031,96,134
S001,P0031,64,134
S001,P0031,103,134
S001,P0031,58,134
S001,P0031,127,134
S001,P0031,119,134
S001,P0031,117,134
S001,P0031,55,134
S001,P0031,118,134
S001,P0031,70,134
S001,P0031,122,134
S001,P0031,108,134
S001,P0031,90,134
S001,P0031,82,134
S001,P0031,99,134
S001,P0031,122,134
S001,P0031,109,134
S001,P0031,61,134
S001,P0031,99,134
S001,P0031,123,134
S001,P0031,108,134
S001,P0031,116,134
S001,P0031,107,134
S001,P0031,83,134
S001,P0031,126,134
S001,P0031,133,134
S001,P0031,78,134
S001,P0031,82,134
S001,P0031,108,134
S001,P0031,104,134
S001,P0031,126,134
S001,P0031,116,134
S001,P0031,91,134
S001,P0031,131,134
S001,P0031,125,134
S001,P0031,126,134
S001,P0031,131,134
S001,P0031,133,134
S001,P0031,94,134
S001,P0031,109,134
S001,P0031,102,134
S001,P0031,86,134
S001,P0031,59,134
S001,P0031,119,134
S001,P0031,109,134
S001,P0031,102,134
S001,P0031,40,134
S001,P0159,125,132
S001,P0159,128,132
S001,P0159,125,132
S001,P0159,72,132
S001,P0159,73,132
S001,P0159,113,132
S001,P0159,131,132
S001,P0159,125,132
S001,P0159,125,132
S001,P0159,105,132
S001,P0159,84,132
S001,P0159,90,132
S001,P0159,121,132
S001,P0159,113,132
S001,P0159,93,132
S001,P0159,110,132
S001,P0159,116,132
S001,P0159,98,132
S001,P0159,77,132
S001,P0159,98,132
S001,P0159,95,132
S001,P0159,109,132
S001,P0159,70,132
S001,P0159,89,132
S001,P0159,108,132
S001,P0159,32,132
S001,P0159,111,132
S001,P0159,79,132
S001,P0159,103,132
S001,P0159,104,132
S001,P0159,107,132
S001,P0159,109,132
S001,P0159,129,132
S001,P0159,93,132
S001,P0159,64,132
S001,P0159,109,132
S001,P0159,60,132
S001,P0159,78,132
S001,P0159,83,132
S001,P0159,105,132
S001,P0159,125,132
S001,P0159,63,132
S001,P0159,131,132
S001,P0159,88,132
S001,P0159,98,132
S001,P0159,106,132
S001,P0159,109,132
S001,P0159,104,132
S001,P0159,98,132
S001,P0159,58,132
S001,P0159,106,132
S001,P0159,105,132
S001,P0159,37,132
S001,P0159,103,132
S001,P0159,99,132
S001,P0159,106,132
S001,P0159,111,132
S001,P0159,102,132
S001,P0159,109,132
S001,P0159,88,132
S001,P0159,105,132
S001,P0159,112,132
S001,P0159,66,132
S001,P0159,115,132
S001,P0159,94,132
S001,P0159,52,132
S001,P0159,85,132
S001,P0159,129,132
S001,P0159,73,132
S001,P0159,120,132
S001,P0159,48,132
S001,P0159,107,132
S001,P0159,130,132
S001,P0159,122,132
S001,P0159,110,132
S001,P0159,92,132
S001,P0159,129,132
S001,P0159,102,132
S001,P0159,127,132
S001,P0159,76,132
S001,P0159,124,132
S001,P0159,123,132
S001,P0159,121,132
S001,P0159,109,132
S001,P0159,102,132
S001,P0159,85,132
S001,P0159,61,132
S001,P0159,105,132
S001,P0159,93,132
S001,P0159,86,132
S001,P0159,103,132
S001,P0159,74,132
S001,P0159,118,132
S001,P0159,95,132
S001,P0159,43,132
S001,P0159,101,132
S001,P0159,109,132
S001,P0159,112,132
S001,P0159,129,132
S001,P0159,96,132
S001,P0159,127,132
S001,P0159,51,132
S001,P0159,80,132
S001,P0159,124,132
S001,P0159,108,132
S001,P0159,113,132
S001,P0159,128,132
S001,P0159,115,132
S001,P0159,129,132
S001,P0159,119,132
S001,P0159,129,132
S001,P0159,100,132
S001,P0159,63,132
S001,P0159,70,132
S001,P0159,86,132
S001,P0159,94,132
S001,P0159,87,132
S001,P0159,123,132
S001,P0159,131,132
S001,P0159,119,132
S001,P0159,103,132
S001,P0159,98,132
S001,P0159,84,132
S001,P0159,93,132
S001,P0159,121,132
S001,P0159,112,132
S001,P0159,104,132
S001,P0159,105,132
S001,P0159,82,132
S001,P0159,128,132
S001,P0159,66,132
S001,P0159,71,132
S001,P0159,103,132
S001,P0159,114,132
S001,P0159,97,132
S001,P0159,119,132
S001,P0159,75,132
S001,P0159,96,132
S001,P0159,118,132
S001,P0159,88,132
S001,P0159,90,132
S001,P0159,95,132
S001,P0159,126,132
S001,P0159,114,132
S001,P0159,89,132
S001,P0159,124,132
S001,P0159,96,132
S001,P0159,87,132
S001,P0159,81,132
S001,P0159,129,132
S001,P0159,61,132
S001,P0159,60,132
S001,P0159,71,132
S001,P0159,124,132
S001,P0159,87,132
S001,P0159,130,132
S001,P0159,108,132
S001,P0159,70,132
S001,P0159,92,132
